,N mg/L N,Time
0,10.7,2010-07-18
1,8.0,2010-07-25
2,4.3,2010-08-03
3,3.1,2010-08-08
4,6.3,2010-08-15
5,9.4,2010-08-22
6,8.0,2010-08-29
7,5.8,2010-09-08
8,8.6,2010-09-12
9,7.7,2010-09-19
10,6.7,2010-09-29
11,10.96,2010-10-03
12,17.3,2010-10-20
13,26.37,2010-10-28
14,25.07,2010-10-31
15,19.1,2010-11-10
16,13.2,2010-11-14
17,27.0,2010-12-07
18,54.0,2010-12-12
19,6.01,2011-04-09
20,8.19,2011-04-10
21,6.52,2011-04-17
22,7.47,2011-04-18
23,8.91,2011-04-27
24,6.3,2011-05-01
25,8.6,2011-05-14
26,7.7,2011-05-15
27,6.7,2011-05-24
28,7.4,2011-05-29
29,8.0,2011-06-25
30,9.2,2011-06-26
31,7.3,2011-07-08
32,16.9,2011-07-11
33,7.8,2011-07-14
34,11.2,2011-07-18
35,10.4,2011-07-24
36,5.8,2011-07-28
37,16.1,2011-08-07
38,8.7,2011-08-15
39,10.8,2011-08-21
40,8.8,2011-08-28
41,10.0,2011-09-08
42,7.4,2011-09-11
43,2.2,2011-09-18
44,8.5,2011-10-07
45,13.6,2012-03-20
46,7.65,2012-03-29
47,4.2,2012-04-02
48,5.4,2012-04-28
49,5.8,2012-04-29
50,14.6,2012-05-04
51,6.1,2012-05-06
52,6.1,2012-05-10
53,5.7,2012-06-01
54,7.5,2012-06-16
55,8.6,2012-06-18
56,11.4,2012-06-24
57,12.8,2012-07-01
58,8.5,2012-07-10
59,10.1,2012-07-15
60,14.8,2012-07-22
61,7.3,2012-07-30
62,6.2,2012-08-07
63,5.1,2012-08-13
64,11.4,2012-08-20
65,10.2,2012-08-27
66,12.0,2012-09-08
67,7.0,2013-03-04
68,9.0,2013-03-10
69,8.0,2013-03-18
70,6.0,2013-04-15
71,8.0,2013-04-21
72,6.0,2013-04-28
73,5.0,2013-05-05
74,4.0,2013-05-28
75,8.0,2013-06-02
76,15.0,2013-06-28
77,17.0,2013-06-30
78,9.0,2013-07-10
79,6.0,2013-07-15
80,2.0,2013-07-16
81,4.0,2013-07-21
82,2.0,2013-07-22
83,6.0,2013-07-30
84,7.0,2013-08-05
85,9.0,2013-08-06
86,10.0,2013-08-12
87,12.0,2013-08-19
88,8.0,2013-08-26
89,7.0,2013-08-27
90,4.0,2013-09-02
91,13.0,2013-09-03
92,9.0,2013-09-08
93,7.0,2013-09-16
94,13.0,2013-09-23
95,6.0,2013-10-29
96,5.0,2014-05-08
97,6.0,2014-06-09
98,8.0,2014-06-11
99,5.0,2014-06-13
100,6.0,2014-06-16
101,7.0,2014-06-18
102,10.0,2014-07-01
103,6.0,2014-07-08
104,4.0,2014-07-14
105,10.0,2014-07-31
106,5.0,2014-08-04
107,4.0,2014-08-07
108,14.0,2014-08-11
109,6.0,2014-08-13
110,7.0,2014-08-17
111,5.0,2014-08-18
112,9.0,2014-08-25
113,6.0,2014-08-26
114,14.0,2014-09-01
115,5.0,2014-09-08
116,8.0,2014-09-09
117,6.5,2014-09-15
118,17.0,2014-09-22
119,12.0,2014-09-29
120,2.0,2014-10-05
121,21.0,2014-10-08
122,18.0,2014-10-13
123,8.0,2015-03-28
124,9.0,2015-03-30
125,10.0,2015-04-09
126,7.0,2015-04-16
127,7.0,2015-04-20
128,7.0,2015-04-28
129,9.0,2015-05-05
130,8.0,2015-05-12
131,7.0,2015-05-18
132,15.0,2015-05-25
133,12.0,2015-06-01
134,23.0,2015-06-09
135,9.0,2015-06-15
136,10.0,2015-06-22
137,9.0,2015-06-29
138,11.0,2015-07-06
139,16.0,2015-07-13
140,12.0,2015-07-22
141,10.0,2015-07-27
142,13.0,2015-08-03
143,14.0,2015-08-10
144,16.0,2015-08-17
145,9.0,2015-08-24
146,11.0,2015-08-31
147,13.0,2015-09-07
148,17.0,2015-09-14
149,7.0,2015-09-21
150,15.0,2015-09-29
151,18.0,2015-10-05
152,18.0,2015-10-12
153,18.0,2015-10-19
154,10.0,2015-10-26
155,3.53,2016-04-01
156,3.4,2016-04-04
157,2.4,2016-04-20
158,0.2,2016-04-25
159,6.4,2016-05-01
160,6.7,2016-05-09
161,8.3,2016-05-18
162,5.3,2016-05-23
163,6.5,2016-05-29
164,7.4,2016-06-05
165,9.3,2016-06-20
166,16.2,2016-06-26
167,9.1,2016-07-04
168,7.4,2016-07-10
169,6.5,2016-07-17
170,7.2,2016-07-24
171,7.4,2016-07-31
172,14.9,2016-08-08
173,10.8,2016-08-14
174,13.6,2016-08-24
175,20.0,2016-08-28
176,12.2,2016-09-04
177,14.8,2016-09-11
178,14.3,2016-09-18
179,10.3,2016-09-25
180,18.8,2016-10-04
181,10.7,2016-10-09
182,15.6,2016-10-18
